anchor,answer
you speak a lot, don't you?, So, should I leave my job?
what does a nosey pepper do?,gets jalapeno business!,
what do you call a fake noodle?,an impasta,
what do you call an alligator in a vest?,an investigator,
what happens if you eat yeast and shoe polish?,every morning you'll rise and shine!,
what's the difference between a guitar and a fish?,you can't tuna fish,
what do you call a pile of kittens?,a meowntain,
what do you call a baby monkey?,a chimp off the old block,
did you hear about the hungry clock?,it went back four seconds,
what do you call a boy who finally stood up to the bullies?,an ambulance,
why can't you give elsa a balloon?,because she will let it go, 
what do you get from a pampered cow?,spoiled milk, 
if mississippi bought virginia a new jersey, what would delaware?,idaho, alaska!, 
did you hear about that new broom?,it's sweeping the nation!,
what do you call an elephant that doesn't matter?,an irrelephant, 
what do lawyers wear to court?,lawsuits!, 
what gets wetter the more it dries?,a towel, 
where do crayons go on vacation?,color-ado!, 
why did the belt get arrested?,he held up a pair of pants, 
what do you call a fat psychic?,a four chin teller, 
what do you call a computer floating in the ocean?,a dell rolling in the deep, 
what did bacon say to tomato?,lettuce get together!, 
what do you call a computer that sings?,a-dell 
did you hear about the shampoo shortage in jamaica?,it's dread-full, 
what is it called when a cat wins a dog show?,a cat-has-trophy!, 
how do you make a tissue dance?,put a little boogey in it!, 
why is your foot more special than your other body parts?,because they have their own soul, 
what is heavy forward but not backward?,ton, 
what do you call a gangsta snowman?,froze-t,
what did the femur say to the patella?,i kneed you,
what do you get if you cross a cat with a dark horse?,kitty perry,
why did the picture go to jail?,because it was framed, 
what do you call a three-footed aardvark?,a yardvark!, 
what do you get when you cross fish and an elephant?,swimming trunks, 
where do bees go to the bathroom?,at the bp station!, 
who earns a living driving their customers away?,a taxi driver, 
what do you call a laughing jar of mayonnaise?,lmayo,
what do you call a dinosaur with a extensive vocabulary?,a thesaurus, 
how do you shoot a killer bee?,with a bee bee gun,
how do you drown a hipster?,in the mainstream, 
what kind of jokes do you make in the shower?,clean jokes!, 
what did the baby corn say to the mama corn?,where's popcorn? 
what do you call sad coffee,despresso, 
how do you make holy water?,boil the hell out of it!, 
what happened to the dog that swallowed a firefly?,it barked with de-light!, 
what stays in the corner and travels all over the world?,a stamp, 
what do you call a man with no body and just a nose?,nobody nose, 
why did the computer go to the doctor?,because it had a virus!, 
why did the giraffe get bad grades?,he had his head in the clouds, 
why are frogs so happy?,they eat whatever bugs them,
what is brown and has a head and a tail but no legs?,a penny, 
how do you make an octupus laugh?,with ten-tickles,
why are pirates called pirates?,cause they arrrrr, 
what is the tallest building in the world?,the library!, it has the most stories!, 
what's the first bet that most people make in their lives?,the alpha bet,
what do you get when you cross a cow and a duck?,milk and quackers!, 
how do you organize a space party?,you planet!, 
what did the leopard say after eating his owner?,man, that hit the spot, 
what do you call a sleeping bull?,a bulldozer!, 
what do you call security guards working outside samsung shops?,guardians of the galaxy, 
what do you call having your grandma on speed dial?,instagram, 
why did the banana go to the doctor?,because it was not peeling well,
why is england the wettest country?,because the queen has reigned there for years!, 
what belongs to you but others use more?,your name,
why do fish live in salt water?,because pepper makes them sneeze!,
why did the man put his money in the freezer?,he wanted cold hard cash!,
what do you get when you cross a snowman with a vampire?,frostbite,
what is the best day to go to the beach?,sunday, of course!,
which is the building is the largest?,the library because it has the most stories,
what do you call an illegally parked frog?,toad,
what bow can't be tied?,a rainbow!,
what do you call a laughing motorcycle?,a yamahahaha,
what season is it when you are on a trampoline?,spring time,
where did the computer go to dance?,to a disc-o, 
what has one head, one foot and four legs?,a bed,
what is the difference between a school teacher and a train?,the teacher says spit your gum out and the train says chew chew chew, 
why did the birdie go to the hospital?,to get a tweetment, 
why did the cross-eyed teacher lose her job?,because she couldn't control her pupils,
what do you call someone who is afraid of santa?,a clausterphobic,
what three candies can you find in every school?,nerds, dumdums, and smarties,
what sound do porcupines make when they kiss?,ouch,
why was the guy looking for fast food on his friend?,because his friend said dinner is on me,
did you hear the joke about the roof?,never mind, it's over your head!,
what do you call a bee that lives in america?,a: usb,
how do you make a tissue dance?,put a bogey in it,
why didn't the skeleton go to the dance?,because he had no-body to go with, 
how do crazy people go through the forest?,they take the psycho path, 
did you hear about the angry pancake?,he just flipped, 
what do prisoners use to call each other?,cell phones, 
what do you call a cow with a twitch?,beef jerky, 
did you ever hear about that movie constipation?,it never came out, 
what do you call bear with no teeth?,a: a gummy bear,
what do you get when you cross sonic the hedgehog and curious george?,2 fast 2 curious,
did you hear about the hairdresser?,she dyed, 
what do you call a musician with problems?,a trebled man, 
did you hear about the italian chef that died?,he pasta way, 
where do snowmen keep their money?,in snow banks, 
what do you call a very religious person that sleep walks?,a roman catholic,
did you hear about the crab that went to the seafood disco?,he pulled a muscle,
did you hear about the carrot detective?,he got to the root of every case, 
why can't you take a nap during a race?,because if you snooze, you loose!, 
what did the tie say to the hat?,you go on ahead and i'll hang around,
what washes up on very small beaches?,microwaves!, 
what never asks questions but receives a lot of answers?,the telephone, 
what goes through towns, up & over hills, but doesn't move?,the road!, 
did you hear about the guy who got hit in the head with a can of soda?,he was lucky it was a soft drink, 
why was there thunder and lightning in the lab?,the scientists were brainstorming!, 
what did delaware?,a new jersey,
why did tony go out with a prune?,because he couldn't find a date!,
what do you cal purple when it is being mean?,violent, 
what did the little mountain say to the big mountain?,hi cliff!, 
did you hear the one about the geologist?,he took his wife for granite so she left him,
what did winnie the pooh say to his agent?,show me the honey!, 
what did the man say to the wall?,one more crack like that and i'll plaster ya!,
what do you get when you cross a fridge with a radio?,cool music,
why couldn't the pirate play cards?,because he was sitting on the deck!, 
what's the difference between bird flu and swine flu?,if you have bird flu, you need tweetment, if you have swine flu, you need oink-ment, 
why did the traffic light turn red?,you would too if you had to change in the middle of the street!, 
what did one elevator say to the other elevator?,i think i'm coming down with something!, 
what do you call a window that raps?,2panez, 
what happened when a faucet, a tomato and lettuce were in a race?,the lettuce was ahead-the faucet was running and the tomato was trying to ketchup, 
why can't your nose be 12 inches long?,because then it would be a foot!, 
what has four wheels and flies?,a garbage truck!, 
what starts with a p, ends with an e, and has a million letters in it?,post office!, 
what do you call a belt with a watch on it?,a waist of time,
what did the blanket say to the bed?,don't worry, i've got you covered!, 
why should you take a pencil to bed?,to draw the curtains!, 
what do you call an unpredictable, out of control photographer?,a loose canon,
what do you call a frozen dog?,a pupsicle, 
what does the lone ranger say when he takes out the garbage?,to the dump, to the dump, to the dump dump dump, 
how many books can you put in an empty backpack?,one!, after that its not empty!, 
what kind of button won't unbutton?,a bellybutton!, 
what do you call an 80s synth pop band with a scoop of ice cream?,depeche a la mode, 
what do you call a group of men waiting for a haircut?,a barbercue,
why do sea-gulls fly over the sea?,because if they flew over the bay they would be bagels!, 
what dog keeps the best time?,a watch dog, 
what do you call a condiment with a hit single?,a must-heard,
what do you call two fat people having a chat?,a heavy discussion, 
why did the tomato turn red?,it saw the salad dressing!, 
what do you get when you plant kisses?,tu-lips (two-lips) 
what did the daddy chimney say to the baby chimney?,you are to little to smoke!, 
what do you call a ghosts mom and dad?,transparents,
why did god make only one yogi bear?,because when he tried to make a second one he made a boo-boo,
what did the grape do when it got stepped on?,it let out a little wine!, 
what do you call the new girl at the bank?,the nutella!, 
what did the judge say when the skunk walked in the court room?,odor in the court, 
what did the fish say when he swam into the wall?,dam!, 
why don't skeletons fight each other?,they don't have the guts, 
what do you call cheese that is not yours?,nacho cheese,
what streets do ghosts haunt?,dead ends!, 
did you hear about the astronaut who stepped on chewing gum?,he got stuck in orbit, 
what did the penny say to the other penny?,we make perfect cents, 
why did the man with one hand cross the road?,to get to the second hand shop, 
why did the boy sprinkle sugar on his pillow before he went to sleep?,so he could have sweet dreams, 
what do you call a nervous javelin thrower?,shakespeare, 
did you hear about the painter who was hospitalized?,reports say it was due to too many strokes,
why did the robber take a bath?,because he wanted to make a clean getaway, 
what happens if life gives you melons?,your dyslexic,
what did the judge say to the dentist?,do you swear to pull the tooth, the whole tooth and nothing but the tooth, 
why did the boy tiptoe past the medicine cabinet?,he didn't want to wake the sleeping pills!, 
what do you call a funny mountain?,hill-arious 
what goes up when the rain comes down?,an umbrella, 
why did the belt go to jail?,because it held up a pair of pants!, 
did you hear about the calendar thief?,he got 12 months; they say his days are numbered,
what happens if life gives you melons?,your dyslexic,
what did one raindrop say to the other?,two's company, three's a cloud,
why did the balloon burst?,because is saw a lolly pop,
did you hear about the sick juggler?,they say he couldnt stop throwing up!, 
what kind of driver never get a parking ticket?,a screw driver,
what did the stamp say to the envelope?,stick with me and we will go places!, 
who can shave 10 times a day and still have a beard?,a barber, 
what do you call a horse that can't lose a race?,sherbet,
what do you call a dentist in the army?,a drill sergeant,
what did the triangle say to the circle?,your pointless!, 
did you hear about the new johnny depp movie?,it's the one rated arrrr!, 
why does a milking stool have only 3 legs?,because the cow has the utter, 
what's easy to get into but hard to get out of?,trouble,
did you hear about the guy who died when an axe fell on him?,the police are calling it an axe-i-dent, 
why did the dinosaur cross the road?,because the chicken joke wasn't invented yet, 
what kind of lights did noah use on the arc?,a: flood lights!, 
did you hear about the monster with five legs?,his trousers fit him like a glove, 
why don't you see giraffes in elementary school?,because they're all in high school!, 
which is the longest word in the dictionary?,smiles, because there is a mile between each s!, 
what happened to the wooden car with wooden wheels and wooden engine?,it wooden go!, 
which month do soldiers hate most?,the month of march!, 
what did the painter say to the wall?,one more crack like that and i'll plaster you!, 
what do you call a bee who is having a bad hair day?,a frisbee, 
what did the m&m go to college?,because he wanted to be a smarty, 
what stays on the ground but never gets dirty?,shadow, 
what kind of shorts do clouds wear?,thunderwear,
why do golfers wear two pairs of pants?,in case they get a hole in one!, 
what kind of berry has a coloring book?,a crayon-berry,
what do you call a magician on a plane?,a flying sorcerer!, 
why did the toilet paper roll down the hill?,he wanted to get to the bottom, 
who cleans the bottom of the ocean?,a mer-maid,
whens the best time to go to the dentist?,tooth-hurty,
what did one aspiring wig say to the other aspiring wig?,i wanna get a head!, 
did you hear about the paddle sale at the boat store?,it was quite an oar deal, 
why did goofy put a clock under his desk?,because he wanted to work over-time!, 
do you know why diarrhea is hereditary?,because it runs through your jeans, 
what would you do if i stole a kiss?, call the police,
why did johnny throw the clock out of the window?,because he wanted to see time fly!,
when do you stop at green and go at red?,when you're eating a watermelon!,
what did the tailor think of her new job?,it was sew sew,
how did the farmer mend his pants?,with cabbage patches!,
why did the man lose his job at the orange juice factory?,he couldn't concentrate!,
can i tell you a joke about paper?,nah, never mind, its tearable,
how do you repair a broken tomato?,tomato paste!,
why did the baby strawberry cry?,because his parents were in a jam!, 
what did the hamburger name his daughter?,patty!,
what kind of egg did the bad chicken lay?,a deviled egg!, 
what kind of key opens the door on thanksgiving?,a turkey!, 
why did the cookie go to the hospital?,he felt crummy!, 
why were the teacher's eyes crossed?,she couldn't control her pupils!, 
what do you call a guy who never farts in public?,a private tutor, 
what do you call a bear with no socks on?,bare-foot, 
what can you serve but never eat?,a volleyball, 
what kind of shoes do all spies wear?,sneakers, 
why did the soccer player bring string to the game?,so he could tie the score, 
why is a baseball team similar to a muffin?,they both depend on the batter, 
what did the alien say to the garden?,take me to your weeder,
what do you call two fat people having a chat?,a heavy discussion,
did you hear about the two bed bugs who met in the mattress?,they got married in the spring,
why do watermelons have fancy weddings?,because they cantaloupe, 
have you heard the joke about the butter?,i better not tell you, it might spread,
how do baseball players stay cool?,they sit next to their fans, 
why was the math book sad?,because it had too many problems, 
what runs but doesn't get anywhere?,a refrigerator, 
what is an astronaut's favorite place on a computer?,the space bar!, 
why was the robot mad?,people kept pushing its buttons,
what exam do young witches have to pass?,a spell-ing test!, 
what do you call a sheep with no head and no legs?,a cloud!, 
why did the boy eat his homework?,because his teacher said it was a piece of cake!, 
why is basketball such a messy sport?,because you dribble on the floor!, 
how do you communicate with a fish?,drop him a line!, 
what did the digital watch say to his grandfather?,look grandpa no hands!, 
where do sheep go to get haircuts?,to the baa baa shop!, 
what does a shark like to eat with peanut butter?,jellyfish!, 
what do cats eat for breakfast?,mice crispies!, 
why can't a leopard hide?,because he's always spotted!, 
what do you give a dog with a fever?,mustard, its the best thing for a hot dog!, 
what do you get when you cross a cat with a lemon?,a sour puss!, 
what kind of flower doesn't sleep at night?,the day-zzz,
why do birds fly south for the winter?,its easier than walking!, 
what kind of key opens a banana?,a monkey!, 
did you hear about the vampire bicycle that went round biting people's arms off?,it was a vicious cycle, 
how do you know that carrots are good for your eyesight?,have you ever seen a rabbit wearing glasses?,
why does a hummingbird hum?,it doesn't know the words!, 
what did one plate say to the other?,dinners on me,
why are some fish at the bottom of the ocean?,because they dropped out of school!, 
what goes up and down but doesn't move?,the temperature!, 
which weighs more, a ton of feathers or a ton of bricks?,neither, they both weigh a ton!, 
did you hear about the blonde who gave her cat a bath?,she still hasn't gotten all the hair off her tongue, 
what has one horn and gives milk?,a milk truck, 
where do bulls get their messages?,on a bull-etin board, 
what do bulls do when they go shopping?,they charge!, 
what do you call a house that likes food?,a condoment!, 
what runs but can't walk?,the faucet!,
what kind of bed does a mermaid sleep in?,a water bed!,
what kind of crackers do firemen like in their soup?,firecrackers!, 
why did the barber win the race?,because,
where do boats go when they get sick?,the dock,
what do you call leftover aliens?,extra terrestrials, 
what's taken before you get it?,your picture, 
whats the difference between roast beef and pea soup?,you can roast beef, but you cant pea soup!, 
what concert costs 45 cents?,50 cent featuring nickleback, 
can february march?,no, but april may,
did you hear about the injured vegetable?, some say he got beet,
why did the tree go to the dentist?,to get a root canal, 
what is it called when a cat wins a dog show?,a cat-has-trophy!, 
why was the broom late?,it over swept!, 
why is a 2016 calendar more popular than a 2015 calendar?,it has more dates, 
what caused the airline to go bankrupt?,runway inflation, 
what do you call a snowman with a six pack?,an abdominal snowman, 
did you hear the joke about the germ?,never mind, i don't want to spread it around, 
what do you call a person that chops up cereal?,a cereal killer, 
what do you call a crushed angle?,a rectangle,
who do fish always know how much they weigh?,because they have their own scales, 
why didn't the 11 year old go to the pirate movie?,because it was rated arrrrr,
what did the janitor say when he jumped out of the closet?,supplies!, 
what did the tie say to the hat?,you go on ahead and i'll hang around!, 
did you hear about the limo driver who went 25 years without a customer?,all that time and nothing to chauffeur it, 
why did the scarecrow win the nobel prize?,because he was outstanding in his field, 
what pet makes the loudest noise?,a trum-pet!, 
did you hear about the kidnapping?,he woke up, 
what the difference between you and a calendar?,a calendar has dates, 
what do you call a rabbit with fleas?,bugs bunny!, 
what word looks the same backwards and upside down?,swims,
why did the manager hire the marsupial?,because he was koala-fied, 
how many tickles does it take to make an octopus laugh?,tentacles, 
what do you get if you a cross a card game with a typhoon?,bridge over troubled water, 
have you ever tried to eat a clock?,it's very time consuming, 
did you hear about the ghost comedian?,he was booed off stage, 
what do you get when you cross the godfather with an attorney?,an offer you can't understand, 
what kind of emotions do noses feel?,nostralgia, 
why did the dog cross the road?, to get to the barking lot!, 
how do spiders communicate?,through the world wide web, 
why are chefs so mean?,they beat eggs and whip cream, 
did you hear about the guy who's whole left side was cut off?,he's all right now, 
did you hear about the paper boy?,he blew away,
when i was young there was only 25 letters in the alphabet?,nobody new why, 
what do you get when you cross speedy gonzales with a country singer?,arriba mcentire, 
what do you get when you cross a lawyer with the godfather?,an offer you can't understand, 
did you hear about the circus fire?,yeah, it was in'tents', 
why did the scientist go to the tanning salon?,because he was a paleontologist, 
where does bad light go?,prism!, ,
why did the hot dog turn down a chance to star in a major motion picture?,none of the rolls (roles) were good enough, 
did you hear about the new corduroy pillowcases?,their making headlines, 
why did the log fall into a creek?,because that's how it rolls!, 
what did the pink panther say when he stepped on the ant?,deadant deadant deadant deadant, 
what kind of bird sticks to sweaters?,a vel-crow, 
why did the two 4's skip lunch?,they already 8 (ate), 
why did the girl bring lipstick and eye shadow to school?,she had a make-up exam!, 
what did a sign say outside the pet shop?,buy 1 dog get 1 flea!, 
why did the insomniac man get arrested?,he resisted a rest,
why did the computer break up with the internet?,there was no connection, 
what vehicle has 4 wheels and flies?,a garbage truck, 
why did the music teacher need a ladder?,to reach the high notes, 
what music are balloons scared of?,pop music,
what do you call a book that's about the brain?,a mind reader, 
who goes to the bathroom in the middle of a party?,a party pooper, 
did you hear about the party a little boy had for his sisters barbie dolls?,it was a barbie-q, 
how does a suit put his child into bed?,he tux him in,
what's the difference between a cat and a frog?,a cat has nine lives but a frog croaks every night!, 
what is a tree's favorite drink?,root beer!, 
what four letters will frighten a burglar?,o i c u,
where does bad light go?,to prism!, 
what do sea monsters eat?,fish and ships,
i can run but not walk, have a mouth but can't talk, and a bed, but i do not sleep, what am i?,a river, 
why did the cookie go to the hospital?,because he felt crummy,
why did johnny throw the clock out of the window?,because he wanted to see time fly!, 
what did the policeman say to his belly button?,you're under a vest!, 
what do you call a fake noodle?,an impasta,
what did one toilet say to the other toilet?,you look flushed,
what do lawyers wear to court?,lawsuits!, 
why is there a gate around cemeteries?,because people are dying to get in!, 
why wouldn't the shrimp share his treasure?,because he was a little shellfish,
what lights up a soccer stadium?,a soccer match,
why was the baby strawberry crying?,because his mom and dad were in a jam, 
why shouldn't you write with a broken pencil?,because it's pointless, 
why did the man put his money in the freezer?,he wanted cold hard cash!,
why did the barber win the race?,because he took a short cut,
what do call cheese that isn't yours?,nacho cheese,
what do you call four bullfighters standing in quicksand?,quattro sinko,
how do you make a tissue dance?,put a little boogey in it!, 
what do you call a sleeping bull?,a bulldozer!, 
what do you call a belt with a watch on it?,a waist of time,
what do you call bears with no ears?,b,
where do pencils go for vacation?,pencil-vania,
why couldn't the pony sing himself a lullaby?,he was a little hoarse,
what did the judge say when the skunk walked in the court room?,odor in the court,
where do snowmen keep their money?,in snow banks!, 
what is the best day to go to the beach?,sunday, of course!, 
how do hens cheer for their team?,they egg them on!,
what did the janitor say when he jumped out of the closet?,supplies,
why did the man with one hand cross the road?,to get to the second hand shop, 
what bow can't be tied?,a rainbow!, 
what season is it when you are on a trampoline?,spring time,
what is red and smells like blue paint?,red paint,
why do fish live in salt water?,because pepper makes them sneeze!, 
why did the birdie go to the hospital?,to get a tweetment,
what has one head, one foot and four legs?,a bed,
where did the computer go to dance?,to a disc-o,
why is england the wettest country?,because the queen has reigned there for years!, 
why did the banana go to the doctor?,because it was not peeling well,
why did the computer go to the doctor?,because it had a virus!, 
why did roger go out with a prune?,because he couldn’t find a date!, 
what happened to the dog that swallowed a firefly?,it barked with de-light!, 
how do you shoot a killer bee?,with a bee-bee gun,
what did the traffic light say to the car?,don't look, i'm about to change!, 
who earns a living driving their customers away?,a taxi driver,
what did the little mountain say to the big mountain?,hi cliff!, 
what did winnie the pooh say to his agent?,show me the honey!, 
why did the girl smear peanut butter on the road?,to go with the traffic jam!,
what goes through towns, up & over hills, but doesn't move?,the road!, 
what kind of dogs like car racing?,lap dogs,
why was there thunder and lightning in the lab?,the scientists were brainstorming!, 
why couldn't the pirate play cards?,because he was sitting on the deck!, 
what do you call a baby monkey?,a chimp off the old block,
where do bees go to the bathroom?,at the bp station!, 
why did the traffic light turn red?,you would too if you had to change in the middle of the street!, 
what did one elevator say to the other elevator?,i think i'm coming down with something!, 
what do you get when you cross fish and an elephant?,swimming trunks, 
what do you call the security guards who work at the samsung store?,guardians of the galaxy, 
what do you get when you cross a snowman with a vampire?,frostbite,
what word is always spelled wrong in the dictionary?,wrong, 
why couldn't the bicycle stand up by itself?,it was two-tired!, 
what kind of animal do you not want to play games with?,a cheetah,
why did the chicken get a penalty?,for fowl play!,
what is a cheerleader’s favorite drink?,rootbeer,
when does friday come before thursday?,in the dictionary,
what did the blanket say to the bed?,don't worry, i've got you covered!, 
how many tickles does it take to make an octopus laugh?,ten-tickles,
what kind of bird sticks to sweaters?,a vel-crow,
what washes up on very small beaches?,microwaves,
what kind of button won’t unbutton?,a bellybutton!, 
why is the sky so unhappy?,it has the blues,
where do boats go when they get sick?,the dock,
what pet makes the loudest noise?,a trum-pet!, 
what do you call a funny mountain?,hill-arious!, 
what's easy to get into but hard to get out of?,trouble,
what did the triangle say to the circle?,you’re pointless!,
what kind of crackers do firemen like in their soup?,firecrackers!, 
what did the digital clock say to the grandfather clock?,look grandpa, no hands!, 
what is an astronaut's favorite place on a computer?,the space bar!, 
which month do soldiers hate most?,the month of march!, 
what did the judge say to the dentist?,do you swear to pull the tooth, the whole tooth and nothing but the tooth, 
what starts with a p, ends with an e, and has a million letters in it?,post office!, 
what runs but doesn't get anywhere?,a refrigerator,
why did the scarecrow win an award?,because he was out-standing in his field, 
what kind of dog keeps the best time?,a watch dog, 
which is the longest word in the dictionary?,smiles, because there is a mile between each s,
why did the dinosaur cross the road?,because the chicken joke wasn't invented yet, 
why couldn't dracula's wife get to sleep?,because of his coffin, 
what did the worker at the rubber band factory say when he lost his job?,oh snap!, 
what did one hat say to another?,you stay here, i'll go on a head,
what did the elder chimney say to the younger chimney?,you're too young to smoke!, 
why are pirates called pirates?,cause they arrrrr, 
what did the lawyer name his daughter?,sue,
what did the cat say after eating two robins lying in the sun?,i just love baskin' robins, 
how many books can you put in an empty backpack?,one!, after that it’s not empty!, 
did you hear they're changing the flooring in daycare centers?,they're calling it infant-tile!, 
what three candies can you find in every school?,nerds, dumdums, and smarties, 
what do you call a man that irons clothes?,iron man,
why does a moon-rock taste better than an earth-rock?,because it's a little meteor, 
why is peter pan always flying?,he neverlands!, 
why did the picture go to jail?,because it was framed!, 
what do you call an alligator in a vest?,an investigator, 
what stays in the corner and travels all over the world?,a stamp 
what kind of key opens a banana?,a monkey!, 
what do you call a guy who never farts in public?,a private tutor,
what goes up when the rain comes down?,an umbrella, 
what did the tree say to the wind?,leaf me alone!, 
did you hear the joke about the roof?,never mind, it's over your head!, 
why didn't the skeleton go to the dance?,because he had no-body to go with, 
what did the horse say when he fell?,help, i've fallen and i can't giddy up!, 
what happens when the smog lifts over los angeles?,ucla,
which u,s, state has the smallest soft drinks?,mini-soda,
why did the stadium get hot after the game?,all of the fans left,
what did the duck say to the bartender?,put it on my bill,
how does a squid go into battle?,well armed,
what kind of tea is hard to swallow?,reality,
why was the guy looking for fast food on his friend?,because his friend said dinner is on me, 
what did the time traveler do when he was still hungry after his last bite?,he went back four seconds, 
what do you call an unpredictable, out of control photographer?,a loose canon, 
did you hear about the sensitive burglar?,he takes things personally, 
did the disappointed smoker get everything he wanted for christmas?,clothes, but no cigar, 
what do you call the sound a dog makes when it's choking on a piece of its owner's jewelry?,a diamond in the ruff, 
what do you call the heavy breathing someone makes while trying to hold a yoga pose?,yoga pants, 
how do you impress a baker when you're taking his daughter on a date?,bring her flours, 
why did the yogurt go to the art exhibit?,because it was cultured, 
where do cows hang their paintings?,in the mooo-seum, 
why did the tomato turn red?,because it saw the salad dressing!, 
why did the can crusher quit his job?,because it was soda pressing, 
what do bees do if they want to use public transport?,wait at a buzz stop!, 
what did the fashion police officer say to his sweater?,do you know why i pulled you over?,
what do you call a group of unorganized cats?,a cat-astrophe,
why did the frog take the bus to work?,his car got toad, 
what is the difference between a dressmaker and a farmer?,a dressmaker sews what she gathers, a farmer gathers what he sows, 
what do you give to a sick lemon?,lemon aid!, 
what did the buffalo say to his son when he left for college?,bison,
where do volkswagens go when they get old?,the old volks home!, 
why did the elephants get kicked out of the public pool?,they kept dropping their trunks, 
what's the most musical part of a chicken?,the drumstick, 
what do you call a seagull that flies over the bay?,a bagel, 
what did the fisherman say to the magician?,pick a cod, any cod!, 
what did the red light say to the green light?,don't look, i'm changing!, 
why couldn't the sesame seed leave the casino?,because he was on a roll, 
what would bears be without bees?,ears,
why did the poor man sell yeast?,to raise some dough, 
how do snails fight?,they slug it out, 
why do bananas wear suntan lotion?,because they peel, 
what's the difference between ignorance and apathy?,i don't know and i don't care, 
why are penguins socially awkward?,because they can't break the ice, 
where do hamburgers go to dance?,they go to the meat-ball,
what kind of shoes do all spies wear?,sneakers,
why did the boy tiptoe past the medicine cabinet?,he didn't want to wake the sleeping pills!, 
what do you get when you put your radio in the fridge?,cool music,
why did the belt go to jail?,because it held up a pair of pants!, 
what do you call a bear with no socks on?,bare-foot, 
what can you serve but never eat?,a volleyball, 
how do bees get to school?,they take the school buzz, of course!, 
what do you call a cow on a trampoline?,a milk shake!, 
why did the boy sprinkle sugar on his pillow before he went to sleep?,so he could have sweet dreams, 
why did the robber take a bath?,because he wanted to make a clean getaway, 
what did the penny say to the other penny?,we make perfect cents, 
how do you find a princess?,you follow the foot prince, 
why did the hipster burn his tongue with his pizza?,he ate it before it was cool!, 
what do you call an apology written in dots and dashes?,remorse code,
why aren’t koalas actual bears?,the don’t meet the koalafications,
what’s brown and sticky?,a stick,
what’s a foot long and slippery?,a slipper,
what’s red and moves up and down?,a tomato in an elevator,
how does nasa organize a party?,they planet,
what do alexander the great and winnie the pooh have in common?,same middle name, 
who walks into a restaurant, eats shoots and leaves?,a panda,
what did one eye say to the other eye?,don’t look now, but something between us smells,
why do abcdefghijklmopqrstuvwxy & z hate hanging out with the letter n?,because n always has to be the center of attention, 
what do you call someone who is afraid of santa?,a clausterphobic,
what sound do porcupines make when they kiss?,ouch!, 
why can't your nose be 12 inches long?,because then it would be a foot!, 
what did the man say to the wall?,one more crack like that and i'll plaster ya!, 
why don't skeletons fight each other?,they don't have the guts, 
what has four wheels and flies?,garbage truck!, 
why was the student's report card wet?,it was below c level!, 
what streets do ghosts haunt?,dead ends!, 
what do you call it when batman skips church?,christian bale,
what did the grape do when it got stepped on?,it let out a little wine!, 
what did the time traveler do when he was still hungry after dinner?,he went back four seconds,
on a turkey, which side would you find most feathers?,the outside,
what do you call a chicken that is crossing the road?,poultry in motion,
what's the difference between a pessimist and a magnet?,a magnet has a positive side, 
why is it that we don't eat clowns?,they taste funny,
why is that all cats dislike flying saucers?,because it is impossible for them to reach the milk, 
if a cat has nine lives, what has more?,a frog – it croaks every day, 
which ballet do pigs like best?,swine lake, 
what would you have if you crossed a pig with a karate expert?,pork chops,
why do traffic lights rarely go swimming?,they take much too long to change, 
why do thieves shower before they commit crime?,because they like a clean getaway, 
what type of bow can never be tied?,a rainbow, 
why did jack take a prune out for the evening?,he couldn’t get a date, 
why is it that birds fly southwards for the winter?,because it is much too far to walk, 
what would you have if you had four peaches and three pears in one hand with four pears and three peaches in the other?,incredibly large hands, 
how would you lift a giraffe with one hand?,doesn't matter as you won't find any one handed giraffe,
if a green stone was thrown into the sea what does it become?,wet,
what falls regularly although never gets hurt?,rain,
what would happen if you were to cross two snowmen with three vampires?,you would get severe frostbite,